,date_cal,rain_cal,Q_obs_cal,Q_sim_cal
2064,2006/ 8/27,7.95,74.91,146.127
2065,2006/ 8/28,0.15,56.52,126.333
2066,2006/ 8/29,0.79,39.24,93.331
2067,2006/ 8/30,0.21,32.92,70.99
2068,2006/ 8/31,0.0,27.81,57.939
2069,2006/ 9/ 1,0.0,27.84,49.296
2070,2006/ 9/ 2,0.0,16.44,41.641
2071,2006/ 9/ 3,0.0,19.78,34.892
2072,2006/ 9/ 4,0.0,12.72,29.249
2073,2006/ 9/ 5,0.08,23.99,24.317
2074,2006/ 9/ 6,3.71,6.9,24.804
2075,2006/ 9/ 7,0.06,18.27,22.994
2076,2006/ 9/ 8,0.07,7.4,20.485
2077,2006/ 9/ 9,4.18,13.31,23.164
2078,2006/ 9/10,0.02,6.81,22.314
2079,2006/ 9/11,0.0,10.9,20.152
2080,2006/ 9/12,0.0,9.15,17.209
2081,2006/ 9/13,0.0,9.3,14.486
2082,2006/ 9/14,0.0,6.46,12.459
2083,2006/ 9/15,3.47,16.59,14.687
2084,2006/ 9/16,5.08,33.58,20.791
2085,2006/ 9/17,4.61,33.4,27.495
2086,2006/ 9/18,15.03,39.12,60.798
2087,2006/ 9/19,0.33,78.18,69.457
2088,2006/ 9/20,0.0,27.35,54.025
2089,2006/ 9/21,0.0,33.46,44.869
2090,2006/ 9/22,0.92,21.56,40.178
2091,2006/ 9/23,2.2,17.76,37.76
2092,2006/ 9/24,0.03,15.7,33.655
2093,2006/ 9/25,0.0,11.39,29.171
2094,2006/ 9/26,0.0,6.61,24.757
2095,2006/ 9/27,0.0,6.51,20.574
2096,2006/ 9/28,0.0,11.98,17.197
2097,2006/ 9/29,0.0,14.86,14.124
2098,2006/ 9/30,0.0,6.28,11.946
2099,2006/10/ 1,0.0,10.05,10.426
2100,2006/10/ 2,0.0,5.61,9.769
2101,2006/10/ 3,0.0,6.48,9.119
2102,2006/10/ 4,0.0,6.96,8.513
2103,2006/10/ 5,0.29,1.79,7.943
2104,2006/10/ 6,0.01,7.68,7.426
2105,2006/10/ 7,0.0,4.15,6.938
2106,2006/10/ 8,0.0,10.36,6.481
2107,2006/10/ 9,0.0,7.18,6.053
2108,2006/10/10,0.02,7.26,5.638
2109,2006/10/11,8.26,17.97,13.913
2110,2006/10/12,0.12,1.77,16.029
2111,2006/10/13,0.12,7.36,15.255
2112,2006/10/14,0.0,7.53,13.018
2113,2006/10/15,0.0,5.7,10.37
2114,2006/10/16,0.0,7.98,7.946
2115,2006/10/17,0.0,2.28,6.29
2116,2006/10/18,0.0,7.52,5.195
2117,2006/10/19,0.0,2.64,4.91
2118,2006/10/20,0.16,7.87,4.623
2119,2006/10/21,0.0,6.85,4.353
2120,2006/10/22,21.46,16.23,39.808
2121,2006/10/23,82.34,731.38,724.565
2122,2006/10/24,2.6,374.34,762.223
2123,2006/10/25,0.11,133.58,188.015
2124,2006/10/26,0.0,82.71,106.087
2125,2006/10/27,0.52,56.04,75.572
2126,2006/10/28,0.13,39.5,59.386
2127,2006/10/29,0.0,32.04,50.32
2128,2006/10/30,0.0,39.9,42.948
2129,2006/10/31,0.0,16.95,36.66
2130,2006/11/ 1,0.0,23.3,31.467
2131,2006/11/ 2,0.08,23.25,27.122
2132,2006/11/ 3,0.0,17.64,23.315
2133,2006/11/ 4,0.0,16.49,20.018
2134,2006/11/ 5,13.22,26.55,33.442
2135,2006/11/ 6,7.09,39.58,41.649
2136,2006/11/ 7,0.59,6.96,42.749
2137,2006/11/ 8,0.55,34.01,46.248
2138,2006/11/ 9,21.6,63.49,103.249
2139,2006/11/10,0.73,94.64,126.451
2140,2006/11/11,0.06,44.59,97.575
2141,2006/11/12,0.0,58.32,71.757
2142,2006/11/13,0.88,28.26,58.177
2143,2006/11/14,0.1,28.79,51.292
2144,2006/11/15,3.83,39.71,47.266
2145,2006/11/16,0.24,17.73,42.643
2146,2006/11/17,0.28,28.53,38.196
2147,2006/11/18,0.45,12.32,34.387
2148,2006/11/19,0.33,19.4,31.208
2149,2006/11/20,0.11,19.38,28.473
2150,2006/11/21,0.03,6.06,25.82
2151,2006/11/22,0.22,19.22,23.49
2152,2006/11/23,0.93,9.59,21.935
2153,2006/11/24,0.18,22.24,20.151
2154,2006/11/25,0.03,10.15,18.424
2155,2006/11/26,0.11,15.9,16.966
2156,2006/11/27,12.93,36.38,28.059
2157,2006/11/28,5.5,76.41,34.763
2158,2006/11/29,0.29,49.24,35.732
2159,2006/11/30,0.0,38.02,34.018
2160,2006/12/ 1,0.02,27.97,31.229
2161,2006/12/ 2,0.0,24.61,28.052
2162,2006/12/ 3,0.08,22.5,24.92
2163,2006/12/ 4,0.0,13.46,22.005
2164,2006/12/ 5,0.0,18.38,19.428
2165,2006/12/ 6,0.0,17.3,17.212
2166,2006/12/ 7,0.04,18.59,15.815
2167,2006/12/ 8,0.07,14.99,14.639
2168,2006/12/ 9,5.37,16.63,14.251
2169,2006/12/10,0.12,26.15,13.303
2170,2006/12/11,0.0,13.73,12.166
2171,2006/12/12,0.0,6.43,11.166
2172,2006/12/13,0.02,21.41,10.665
2173,2006/12/14,0.0,14.3,9.889
2174,2006/12/15,0.02,9.69,9.016
2175,2006/12/16,0.5,16.11,8.111
2176,2006/12/17,5.71,9.61,7.33
2177,2006/12/18,0.23,13.83,6.682
2178,2006/12/19,0.56,4.22,6.187
2179,2006/12/20,0.1,15.84,5.894
2180,2006/12/21,0.0,7.99,5.607
2181,2006/12/22,0.14,13.65,5.34
2182,2006/12/23,0.0,16.31,5.086
2183,2006/12/24,0.0,8.67,4.851
2184,2006/12/25,0.0,12.82,4.635
2185,2006/12/26,0.0,9.6,4.851
2186,2006/12/27,0.0,4.9,4.582
2187,2006/12/28,0.0,10.74,4.204
2188,2006/12/29,0.0,1.29,4.057
2189,2006/12/30,0.0,10.7,3.902
2190,2006/12/31,0.0,5.32,3.756
2191,2007/ 1/ 1,0.0,4.88,3.618
2192,2007/ 1/ 2,0.79,11.85,4.126
2193,2007/ 1/ 3,0.04,4.45,4.194
2194,2007/ 1/ 4,0.0,9.71,4.115
2195,2007/ 1/ 5,0.0,0.91,3.711
2196,2007/ 1/ 6,2.3,6.02,3.34
2197,2007/ 1/ 7,0.0,3.48,3.263
2198,2007/ 1/ 8,0.0,3.1,3.162
2199,2007/ 1/ 9,0.07,4.33,3.067
2200,2007/ 1/10,0.0,8.61,2.977
2201,2007/ 1/11,0.0,1.77,2.891
2202,2007/ 1/12,0.0,9.79,2.808
2203,2007/ 1/13,0.0,5.94,2.732
2204,2007/ 1/14,0.0,0.81,2.662
2205,2007/ 1/15,0.0,6.15,2.597
2206,2007/ 1/16,0.0,10.33,2.536
2207,2007/ 1/17,0.0,4.81,2.473
2208,2007/ 1/18,0.0,6.16,2.413
2209,2007/ 1/19,0.0,1.6,2.413
2210,2007/ 1/20,0.0,14.64,2.412
2211,2007/ 1/21,0.0,1.32,2.411
2212,2007/ 1/22,0.42,10.25,2.411
2213,2007/ 1/23,0.0,6.02,2.41
2214,2007/ 1/24,0.0,6.45,2.41
2215,2007/ 1/25,0.21,5.87,2.409
2216,2007/ 1/26,0.0,1.01,2.408
2217,2007/ 1/27,0.0,10.3,2.408
2218,2007/ 1/28,0.49,10.73,2.407
2219,2007/ 1/29,0.79,5.81,2.406
2220,2007/ 1/30,0.64,5.98,2.405
2221,2007/ 1/31,0.0,1.46,2.405
2222,2007/ 2/ 1,0.0,3.06,2.404
2223,2007/ 2/ 2,0.0,5.67,2.403
2224,2007/ 2/ 3,0.1,5.78,2.402
2225,2007/ 2/ 4,0.0,6.86,2.402
2226,2007/ 2/ 5,0.0,7.85,2.401
2227,2007/ 2/ 6,0.0,8.26,3.166
2228,2007/ 2/ 7,0.0,5.94,3.558
2229,2007/ 2/ 8,0.17,2.32,3.089
2230,2007/ 2/ 9,0.67,8.44,3.724
2231,2007/ 2/10,1.16,5.07,3.278
2232,2007/ 2/11,0.07,8.4,2.779
2233,2007/ 2/12,0.04,3.65,2.345
2234,2007/ 2/13,3.43,8.67,2.277
2235,2007/ 2/14,3.73,4.62,2.211
2236,2007/ 2/15,0.04,0.05,2.211
2237,2007/ 2/16,0.07,9.88,2.21
2238,2007/ 2/17,0.0,5.49,2.209
2239,2007/ 2/18,0.0,5.45,2.147
2240,2007/ 2/19,0.0,0.49,3.405
2241,2007/ 2/20,0.0,8.88,4.486
2242,2007/ 2/21,0.0,5.09,5.68
2243,2007/ 2/22,0.0,5.51,7.318
2244,2007/ 2/23,0.0,9.41,7.959
2245,2007/ 2/24,0.0,6.18,7.482
2246,2007/ 2/25,0.0,14.03,7.6
2247,2007/ 2/26,0.0,4.44,8.251
2248,2007/ 2/27,0.0,13.78,8.994
2249,2007/ 2/28,0.0,5.76,9.698
2250,2007/ 3/ 1,0.0,10.68,10.587
2251,2007/ 3/ 2,9.58,11.55,19.094
2252,2007/ 3/ 3,0.07,24.57,23.863
2253,2007/ 3/ 4,20.09,46.14,77.105
2254,2007/ 3/ 5,2.66,211.39,97.999
2255,2007/ 3/ 6,0.01,131.5,73.703
2256,2007/ 3/ 7,0.0,73.91,54.377
2257,2007/ 3/ 8,0.0,55.22,44.863
2258,2007/ 3/ 9,0.0,42.24,39.692
2259,2007/ 3/10,2.05,41.29,35.38
2260,2007/ 3/11,0.04,29.14,30.896
2261,2007/ 3/12,0.0,23.79,26.785
2262,2007/ 3/13,0.0,29.13,23.656
2263,2007/ 3/14,0.0,20.67,21.422
2264,2007/ 3/15,0.0,16.09,20.06
2265,2007/ 3/16,0.15,11.15,19.283
2266,2007/ 3/17,0.0,20.88,18.143
2267,2007/ 3/18,0.0,19.21,16.981
2268,2007/ 3/19,0.06,11.6,15.427
2269,2007/ 3/20,0.03,14.86,13.714
2270,2007/ 3/21,2.05,19.17,13.773
2271,2007/ 3/22,1.04,12.78,15.083
2272,2007/ 3/23,0.0,15.44,15.843
2273,2007/ 3/24,14.35,31.21,39.648
2274,2007/ 3/25,0.04,48.7,46.174
2275,2007/ 3/26,0.25,42.91,41.886
2276,2007/ 3/27,2.01,47.24,42.454
2277,2007/ 3/28,13.48,47.38,48.862
2278,2007/ 3/29,8.68,59.75,64.861
2279,2007/ 3/30,1.2,55.13,71.732
2280,2007/ 3/31,10.92,99.58,97.284
2281,2007/ 4/ 1,0.01,133.21,104.388
2282,2007/ 4/ 2,0.15,108.18,82.403
2283,2007/ 4/ 3,1.2,83.27,64.766
2284,2007/ 4/ 4,0.3,55.76,55.32
2285,2007/ 4/ 5,0.01,59.55,49.858
2286,2007/ 4/ 6,0.01,42.67,45.295
2287,2007/ 4/ 7,0.01,50.75,41.382
2288,2007/ 4/ 8,0.05,33.84,37.809
2289,2007/ 4/ 9,0.13,27.87,34.349
2290,2007/ 4/10,5.42,29.23,37.068
2291,2007/ 4/11,0.25,39.49,43.147
2292,2007/ 4/12,6.51,35.61,55.172
2293,2007/ 4/13,6.81,39.13,73.537
2294,2007/ 4/14,0.14,48.69,69.943
2295,2007/ 4/15,0.15,44.13,55.782
2296,2007/ 4/16,0.43,40.3,49.335
2297,2007/ 4/17,4.46,40.49,49.377
2298,2007/ 4/18,0.01,40.21,46.049
2299,2007/ 4/19,0.34,35.72,41.695
2300,2007/ 4/20,13.06,49.78,60.087
2301,2007/ 4/21,1.97,48.65,65.751
2302,2007/ 4/22,0.37,50.96,56.77
2303,2007/ 4/23,0.0,53.35,49.246
2304,2007/ 4/24,0.0,53.04,43.672
2305,2007/ 4/25,0.22,35.66,38.369
2306,2007/ 4/26,0.0,39.84,33.157
2307,2007/ 4/27,0.0,35.56,27.938
2308,2007/ 4/28,0.0,22.92,22.87
2309,2007/ 4/29,0.0,29.23,18.483
2310,2007/ 4/30,0.36,32.38,15.63
2311,2007/ 5/ 1,11.25,29.96,27.708
2312,2007/ 5/ 2,0.68,28.01,31.621
2313,2007/ 5/ 3,0.0,28.0,30.727
2314,2007/ 5/ 4,0.0,23.18,27.444
2315,2007/ 5/ 5,0.0,20.68,23.233
2316,2007/ 5/ 6,0.03,29.39,19.159
2317,2007/ 5/ 7,0.0,7.94,15.157
2318,2007/ 5/ 8,0.31,20.52,12.286
2319,2007/ 5/ 9,6.7,12.28,18.173
2320,2007/ 5/10,0.2,11.59,19.395
2321,2007/ 5/11,0.0,16.66,17.803
2322,2007/ 5/12,15.0,20.55,36.754
2323,2007/ 5/13,0.19,16.35,40.822
2324,2007/ 5/14,6.99,27.66,48.083
2325,2007/ 5/15,0.07,29.12,47.454
2326,2007/ 5/16,29.35,41.91,122.284
2327,2007/ 5/17,10.23,152.96,183.963
2328,2007/ 5/18,9.95,190.09,192.847
2329,2007/ 5/19,3.11,152.26,174.92
2330,2007/ 5/20,0.13,118.93,134.648
2331,2007/ 5/21,0.0,91.27,94.349
2332,2007/ 5/22,0.0,69.55,68.575
2333,2007/ 5/23,0.0,61.17,56.328
2334,2007/ 5/24,23.67,61.45,106.324
2335,2007/ 5/25,2.08,90.38,127.994
2336,2007/ 5/26,0.03,77.76,97.923
2337,2007/ 5/27,0.0,60.92,71.286
2338,2007/ 5/28,0.0,45.23,57.57
2339,2007/ 5/29,2.13,40.95,52.269
2340,2007/ 5/30,0.87,40.92,47.348
2341,2007/ 5/31,0.03,32.73,41.423
2342,2007/ 6/ 1,0.0,22.51,35.853
2343,2007/ 6/ 2,0.0,22.72,30.118
2344,2007/ 6/ 3,0.0,16.83,24.705
2345,2007/ 6/ 4,0.0,19.36,20.649
2346,2007/ 6/ 5,0.0,11.62,17.837
2347,2007/ 6/ 6,0.0,19.12,15.627
2348,2007/ 6/ 7,0.73,9.15,14.494
2349,2007/ 6/ 8,8.53,16.76,23.594
2350,2007/ 6/ 9,0.0,17.02,25.621
2351,2007/ 6/10,0.0,21.3,23.65
2352,2007/ 6/11,0.0,13.46,19.832
2353,2007/ 6/12,0.25,5.59,15.923
2354,2007/ 6/13,0.53,9.97,13.014
2355,2007/ 6/14,1.53,6.62,12.404
2356,2007/ 6/15,0.0,3.64,10.832
2357,2007/ 6/16,0.0,2.02,10.196
2358,2007/ 6/17,0.0,1.61,9.463
2359,2007/ 6/18,0.0,1.18,8.755
2360,2007/ 6/19,0.0,0.75,8.076
2361,2007/ 6/20,0.17,1.19,7.472
2362,2007/ 6/21,6.49,1.82,12.399
2363,2007/ 6/22,0.26,2.75,12.519
2364,2007/ 6/23,0.02,3.68,9.949
2365,2007/ 6/24,3.97,8.62,11.817
2366,2007/ 6/25,12.23,10.36,26.268
2367,2007/ 6/26,0.03,3.62,29.381
2368,2007/ 6/27,0.92,6.66,28.495
2369,2007/ 6/28,20.26,3.51,70.294
2370,2007/ 6/29,4.43,29.2,95.751
2371,2007/ 6/30,0.61,27.33,80.423
2372,2007/ 7/ 1,13.53,27.4,97.703
2373,2007/ 7/ 2,34.68,109.71,311.304
2374,2007/ 7/ 3,0.56,147.64,318.08
2375,2007/ 7/ 4,2.68,78.47,148.327
2376,2007/ 7/ 5,0.18,59.76,103.741
2377,2007/ 7/ 6,0.0,37.87,74.182
2378,2007/ 7/ 7,0.0,34.48,57.734
2379,2007/ 7/ 8,2.26,24.27,50.89
2380,2007/ 7/ 9,0.82,19.62,44.944
2381,2007/ 7/10,32.08,45.29,119.988
2382,2007/ 7/11,30.77,244.07,373.179
2383,2007/ 7/12,10.18,416.14,389.918
2384,2007/ 7/13,0.08,216.77,194.538
2385,2007/ 7/14,0.71,124.73,134.664
2386,2007/ 7/15,0.36,99.39,96.546
2387,2007/ 7/16,17.96,103.39,123.404
2388,2007/ 7/17,0.91,106.54,134.937
2389,2007/ 7/18,0.24,87.78,102.622
2390,2007/ 7/19,18.23,84.4,129.238
2391,2007/ 7/20,2.29,119.88,143.233
2392,2007/ 7/21,0.28,106.86,113.464
2393,2007/ 7/22,0.09,82.93,84.596
2394,2007/ 7/23,0.13,69.08,67.458
2395,2007/ 7/24,3.92,53.52,63.459
2396,2007/ 7/25,1.99,53.4,60.374
2397,2007/ 7/26,0.06,45.87,54.763
2398,2007/ 7/27,0.0,34.32,48.204
2399,2007/ 7/28,0.58,34.38,42.28
2400,2007/ 7/29,16.38,58.05,65.773
2401,2007/ 7/30,0.0,50.01,68.15
2402,2007/ 7/31,0.0,54.41,56.411
2403,2007/ 8/ 1,17.77,50.03,93.585
2404,2007/ 8/ 2,6.61,86.13,123.017
2405,2007/ 8/ 3,16.43,110.25,156.636
2406,2007/ 8/ 4,43.78,300.66,500.159
2407,2007/ 8/ 5,5.68,561.92,504.888
2408,2007/ 8/ 6,0.06,271.82,195.755
2409,2007/ 8/ 7,12.63,181.26,168.005
2410,2007/ 8/ 8,67.89,522.77,731.777
2411,2007/ 8/ 9,125.9,2306.11,1957.2
2412,2007/ 8/10,33.44,2774.79,1741.062
2413,2007/ 8/11,2.04,815.46,591.935
2414,2007/ 8/12,0.67,375.69,224.549
2415,2007/ 8/13,0.82,233.99,154.083
2416,2007/ 8/14,3.28,151.23,123.687
2417,2007/ 8/15,5.27,133.82,115.514
2418,2007/ 8/16,8.08,190.51,124.189
2419,2007/ 8/17,0.02,121.85,112.403
2420,2007/ 8/18,0.03,92.98,89.128
2421,2007/ 8/19,14.24,82.54,110.255
2422,2007/ 8/20,0.1,83.41,112.782
2423,2007/ 8/21,0.42,61.13,89.883
2424,2007/ 8/22,0.54,55.71,75.701
2425,2007/ 8/23,0.03,40.9,66.723
2426,2007/ 8/24,0.0,40.59,58.353
2427,2007/ 8/25,0.67,29.65,51.451
2428,2007/ 8/26,3.88,28.25,49.791
2429,2007/ 8/27,59.85,95.08,394.278
2430,2007/ 8/28,2.97,391.71,439.983
2431,2007/ 8/29,8.48,176.55,199.649
2432,2007/ 8/30,0.71,129.31,158.348
2433,2007/ 8/31,0.0,98.15,118.321
2434,2007/ 9/ 1,14.58,89.28,131.318
2435,2007/ 9/ 2,9.14,152.82,160.207
2436,2007/ 9/ 3,3.65,224.64,154.51
2437,2007/ 9/ 4,0.37,176.62,125.972
2438,2007/ 9/ 5,14.17,137.83,138.348
2439,2007/ 9/ 6,25.02,251.82,262.106
2440,2007/ 9/ 7,1.09,403.77,262.37
2441,2007/ 9/ 8,0.14,253.6,155.907
2442,2007/ 9/ 9,0.76,157.09,113.142
2443,2007/ 9/10,0.0,111.49,86.941
2444,2007/ 9/11,1.53,93.95,73.88
2445,2007/ 9/12,0.0,67.93,65.049
2446,2007/ 9/13,0.0,58.81,57.212
2447,2007/ 9/14,42.93,94.38,223.234
2448,2007/ 9/15,62.81,1114.42,829.328
2449,2007/ 9/16,7.12,519.2,759.504
2450,2007/ 9/17,13.43,452.04,275.357
2451,2007/ 9/18,23.09,384.99,368.372
2452,2007/ 9/19,38.08,495.64,647.385
2453,2007/ 9/20,11.38,1074.56,540.903
2454,2007/ 9/21,2.33,463.87,251.331
2455,2007/ 9/22,4.45,256.08,190.486
2456,2007/ 9/23,0.08,180.42,151.114
2457,2007/ 9/24,0.34,145.2,113.149
2458,2007/ 9/25,0.0,110.14,89.515
2459,2007/ 9/26,0.0,83.8,76.905
2460,2007/ 9/27,15.29,97.74,101.0
2461,2007/ 9/28,2.75,115.97,112.595
2462,2007/ 9/29,0.11,94.53,94.841
2463,2007/ 9/30,0.1,74.01,77.654
2464,2007/10/ 1,0.9,73.59,69.773
2465,2007/10/ 2,0.46,60.81,63.603
2466,2007/10/ 3,0.57,59.48,58.004
2467,2007/10/ 4,2.45,57.1,55.36
2468,2007/10/ 5,0.03,39.9,50.791
2469,2007/10/ 6,0.0,49.57,45.542
2470,2007/10/ 7,0.1,34.16,40.532
2471,2007/10/ 8,0.0,38.91,35.884
2472,2007/10/ 9,0.0,33.25,31.544
2473,2007/10/10,0.06,27.05,27.914
2474,2007/10/11,0.0,25.07,24.619
2475,2007/10/12,0.0,34.17,21.746
2476,2007/10/13,0.0,23.69,19.522
2477,2007/10/14,0.09,25.08,17.721
2478,2007/10/15,0.38,22.47,16.489
2479,2007/10/16,1.78,22.32,17.188
2480,2007/10/17,2.23,20.92,19.221
2481,2007/10/18,0.0,32.1,18.718
2482,2007/10/19,1.87,25.23,19.484
2483,2007/10/20,0.0,21.92,18.256
2484,2007/10/21,0.0,15.82,16.452
2485,2007/10/22,0.0,25.57,14.414
2486,2007/10/23,0.0,21.04,12.381
2487,2007/10/24,0.0,17.24,10.849
2488,2007/10/25,3.12,15.9,13.206
2489,2007/10/26,3.26,19.62,17.508
2490,2007/10/27,0.0,24.69,18.048
2491,2007/10/28,7.16,16.02,25.99
2492,2007/10/29,0.09,17.24,27.767
2493,2007/10/30,0.0,16.81,26.642
2494,2007/10/31,0.01,10.92,24.23
2495,2007/11/ 1,0.0,17.74,21.271
2496,2007/11/ 2,0.0,1.57,18.398
2497,2007/11/ 3,0.0,12.39,15.769
2498,2007/11/ 4,0.0,17.34,13.458
2499,2007/11/ 5,0.0,11.23,11.548
2500,2007/11/ 6,0.0,7.3,9.809
2501,2007/11/ 7,0.0,14.29,8.471
2502,2007/11/ 8,0.0,11.0,7.523
2503,2007/11/ 9,0.74,4.25,7.386
2504,2007/11/10,0.04,7.77,6.816
2505,2007/11/11,0.0,9.77,6.286
2506,2007/11/12,0.01,6.45,5.964
2507,2007/11/13,0.0,10.33,5.654
2508,2007/11/14,0.0,2.19,5.363
2509,2007/11/15,0.01,4.95,5.081
2510,2007/11/16,0.0,4.98,4.821
2511,2007/11/17,0.0,4.02,4.576
2512,2007/11/18,0.0,13.88,4.343
2513,2007/11/19,0.24,8.13,4.13
2514,2007/11/20,0.61,9.06,3.928
2515,2007/11/21,2.9,4.87,3.744
2516,2007/11/22,0.14,3.37,3.575
2517,2007/11/23,9.13,14.73,5.724
2518,2007/11/24,0.32,9.23,7.009
2519,2007/11/25,0.01,20.15,7.472
2520,2007/11/26,0.21,9.4,7.419
2521,2007/11/27,0.01,10.96,6.738
2522,2007/11/28,0.05,9.59,5.92
2523,2007/11/29,0.19,3.81,5.974
2524,2007/11/30,0.01,3.47,5.425
2525,2007/12/ 1,0.0,12.86,4.612
2526,2007/12/ 2,0.0,5.82,3.944
2527,2007/12/ 3,0.05,7.44,3.529
2528,2007/12/ 4,0.0,5.1,3.433
2529,2007/12/ 5,0.01,4.93,3.311
2530,2007/12/ 6,0.03,4.59,3.201
2531,2007/12/ 7,2.03,6.44,3.1
2532,2007/12/ 8,0.04,2.33,3.01
2533,2007/12/ 9,0.0,4.85,2.921
2534,2007/12/10,0.26,12.56,2.84
2535,2007/12/11,0.95,10.49,2.765
2536,2007/12/12,0.0,5.29,2.83
2537,2007/12/13,0.0,4.76,2.629
2538,2007/12/14,0.0,1.29,2.582
2539,2007/12/15,1.02,8.4,2.518
2540,2007/12/16,0.0,2.34,2.458
2541,2007/12/17,0.01,2.59,2.4
2542,2007/12/18,0.0,7.78,2.342
2543,2007/12/19,0.0,3.88,2.288
2544,2007/12/20,0.0,7.07,2.287
2545,2007/12/21,0.0,3.46,2.286
2546,2007/12/22,0.0,2.81,2.286
2547,2007/12/23,0.0,8.74,2.285
2548,2007/12/24,0.0,3.58,2.285
2549,2007/12/25,0.0,4.14,2.284
2550,2007/12/26,0.0,0.24,2.267
2551,2007/12/27,0.0,5.93,2.206
2552,2007/12/28,0.76,0.03,2.425
2553,2007/12/29,0.15,4.45,2.257
2554,2007/12/30,0.04,2.82,2.256
2555,2007/12/31,0.0,0.55,2.256
2556,2008/ 1/ 1,0.0,4.45,2.255
2557,2008/ 1/ 2,0.0,0.75,2.254
2558,2008/ 1/ 3,0.0,1.48,2.254
2559,2008/ 1/ 4,0.0,0.78,2.253
2560,2008/ 1/ 5,0.0,0.58,2.252
2561,2008/ 1/ 6,0.0,0.39,2.252
2562,2008/ 1/ 7,0.01,2.5,2.251
2563,2008/ 1/ 8,0.0,1.9,2.25
2564,2008/ 1/ 9,0.0,6.05,2.25
2565,2008/ 1/10,0.0,3.89,2.249
2566,2008/ 1/11,6.91,1.2,2.248
2567,2008/ 1/12,0.43,3.67,2.248
2568,2008/ 1/13,0.0,2.15,2.247
2569,2008/ 1/14,0.12,0.23,2.246
2570,2008/ 1/15,0.0,2.81,2.245
2571,2008/ 1/16,0.0,2.68,2.245
2572,2008/ 1/17,0.0,2.15,2.244
2573,2008/ 1/18,0.0,2.93,2.243
2574,2008/ 1/19,0.0,3.59,2.243
2575,2008/ 1/20,0.73,2.44,2.242
2576,2008/ 1/21,1.11,1.04,2.241
2577,2008/ 1/22,1.64,1.86,2.241
2578,2008/ 1/23,0.83,1.65,2.24
2579,2008/ 1/24,0.04,7.52,2.239
2580,2008/ 1/25,0.0,1.3,2.238
2581,2008/ 1/26,0.0,6.69,2.238
2582,2008/ 1/27,0.0,1.57,2.237
2583,2008/ 1/28,0.0,2.04,2.236
2584,2008/ 1/29,0.03,6.56,2.235
2585,2008/ 1/30,0.04,1.75,2.235
2586,2008/ 1/31,0.0,6.37,2.234
2587,2008/ 2/ 1,0.0,2.12,2.233
2588,2008/ 2/ 2,0.0,1.61,2.232
2589,2008/ 2/ 3,0.0,3.02,2.232
2590,2008/ 2/ 4,0.0,3.19,2.231
2591,2008/ 2/ 5,0.0,3.35,2.23
2592,2008/ 2/ 6,0.0,1.82,2.229
2593,2008/ 2/ 7,0.0,0.28,2.228
2594,2008/ 2/ 8,0.0,3.27,2.228
2595,2008/ 2/ 9,0.0,0.96,2.227
2596,2008/ 2/10,0.0,0.69,2.226
2597,2008/ 2/11,0.0,0.41,2.225
2598,2008/ 2/12,0.0,1.33,2.224
2599,2008/ 2/13,0.0,0.81,2.223
2600,2008/ 2/14,0.0,0.8,2.223
2601,2008/ 2/15,0.0,0.78,2.222
2602,2008/ 2/16,0.0,1.21,2.221
2603,2008/ 2/17,0.0,1.65,2.22
2604,2008/ 2/18,0.0,0.67,2.219
2605,2008/ 2/19,0.0,2.04,2.218
2606,2008/ 2/20,0.0,0.28,2.217
2607,2008/ 2/21,0.0,1.21,2.216
2608,2008/ 2/22,2.78,1.45,3.184
2609,2008/ 2/23,0.01,5.09,2.705
2610,2008/ 2/24,0.0,1.91,2.22
2611,2008/ 2/25,1.15,3.17,2.22
2612,2008/ 2/26,1.22,1.28,2.219
2613,2008/ 2/27,0.0,1.75,2.218
2614,2008/ 2/28,0.0,3.16,2.217
2615,2008/ 2/29,0.07,2.51,2.216
2616,2008/ 3/ 1,0.0,1.63,2.215
2617,2008/ 3/ 2,0.01,3.45,2.214
2618,2008/ 3/ 3,3.28,8.49,2.213
2619,2008/ 3/ 4,1.59,0.25,2.213
2620,2008/ 3/ 5,0.0,2.23,2.212
2621,2008/ 3/ 6,1.06,2.47,2.211
2622,2008/ 3/ 7,0.0,4.14,2.21
2623,2008/ 3/ 8,0.0,5.03,2.209
2624,2008/ 3/ 9,0.0,0.22,2.856
2625,2008/ 3/10,0.0,4.59,2.516
2626,2008/ 3/11,0.0,8.71,4.352
2627,2008/ 3/12,0.04,13.08,5.574
2628,2008/ 3/13,3.49,13.82,7.567
2629,2008/ 3/14,1.36,24.21,9.174
2630,2008/ 3/15,0.0,27.11,10.365
2631,2008/ 3/16,0.0,18.32,11.725
2632,2008/ 3/17,0.0,23.17,12.514
2633,2008/ 3/18,0.0,14.69,13.754
2634,2008/ 3/19,0.16,14.9,14.06
2635,2008/ 3/20,0.0,13.76,13.814
2636,2008/ 3/21,0.0,8.54,13.667
2637,2008/ 3/22,2.06,22.94,16.347
2638,2008/ 3/23,24.24,48.95,49.837
2639,2008/ 3/24,2.35,146.27,62.966
2640,2008/ 3/25,0.27,92.93,51.612
2641,2008/ 3/26,0.2,71.76,44.075
2642,2008/ 3/27,2.89,50.96,43.018
2643,2008/ 3/28,0.19,38.87,39.976
2644,2008/ 3/29,3.1,37.78,37.516
2645,2008/ 3/30,1.66,33.77,35.694
