,date_cal,rain_cal,Q_obs_cal,Q_sim_cal
1173,2004/ 3/19,0.0,22.7,50.82
1174,2004/ 3/20,0.01,22.8,43.235
1175,2004/ 3/21,0.0,18.9,37.764
1176,2004/ 3/22,0.0,16.6,32.55
1177,2004/ 3/23,0.0,15.3,27.707
1178,2004/ 3/24,0.0,13.3,23.311
1179,2004/ 3/25,0.0,20.1,19.524
1180,2004/ 3/26,0.0,15.1,16.104
1181,2004/ 3/27,0.0,16.5,13.079
1182,2004/ 3/28,0.0,10.0,10.929
1183,2004/ 3/29,0.38,15.5,9.508
1184,2004/ 3/30,3.36,15.6,12.311
1185,2004/ 3/31,0.0,25.8,11.998
1186,2004/ 4/ 1,1.06,18.7,11.719
1187,2004/ 4/ 2,3.04,19.8,12.978
1188,2004/ 4/ 3,0.14,20.8,12.478
1189,2004/ 4/ 4,0.04,19.4,10.96
1190,2004/ 4/ 5,0.0,24.1,8.901
1191,2004/ 4/ 6,0.11,9.0,7.543
1192,2004/ 4/ 7,0.39,16.4,6.683
1193,2004/ 4/ 8,0.0,24.0,6.324
1194,2004/ 4/ 9,0.0,8.8,5.923
1195,2004/ 4/10,0.0,16.1,5.579
1196,2004/ 4/11,0.0,12.3,5.218
1197,2004/ 4/12,0.0,20.2,4.865
1198,2004/ 4/13,0.0,12.4,4.526
1199,2004/ 4/14,0.0,13.3,4.202
1200,2004/ 4/15,0.0,16.3,3.887
1201,2004/ 4/16,0.0,8.2,3.559
1202,2004/ 4/17,0.0,16.4,3.254
1203,2004/ 4/18,0.09,8.4,2.969
1204,2004/ 4/19,11.64,36.4,15.007
1205,2004/ 4/20,0.05,16.7,17.728
1206,2004/ 4/21,0.17,24.6,16.302
1207,2004/ 4/22,5.55,24.7,20.317
1208,2004/ 4/23,0.0,24.6,19.288
1209,2004/ 4/24,0.0,21.5,16.01
1210,2004/ 4/25,0.35,19.7,12.144
1211,2004/ 4/26,31.33,32.5,77.528
1212,2004/ 4/27,26.97,172.3,148.356
1213,2004/ 4/28,0.01,203.7,181.206
1214,2004/ 4/29,0.0,167.2,157.816
1215,2004/ 4/30,0.0,142.4,110.267
1216,2004/ 5/ 1,0.0,103.3,75.128
1217,2004/ 5/ 2,0.61,79.8,57.07
1218,2004/ 5/ 3,10.09,79.1,68.05
1219,2004/ 5/ 4,2.65,77.0,71.024
1220,2004/ 5/ 5,0.0,63.2,58.877
1221,2004/ 5/ 6,0.0,52.8,48.408
1222,2004/ 5/ 7,0.0,46.9,40.968
1223,2004/ 5/ 8,0.11,38.4,34.784
1224,2004/ 5/ 9,21.78,50.8,74.866
1225,2004/ 5/10,0.86,67.9,89.09
1226,2004/ 5/11,0.0,58.9,68.668
1227,2004/ 5/12,10.41,64.1,79.932
1228,2004/ 5/13,1.28,56.3,83.803
1229,2004/ 5/14,0.0,63.0,65.881
1230,2004/ 5/15,0.13,66.4,54.1
1231,2004/ 5/16,0.0,43.7,46.857
1232,2004/ 5/17,0.42,51.1,40.926
1233,2004/ 5/18,1.58,34.3,37.132
1234,2004/ 5/19,0.01,34.2,31.91
1235,2004/ 5/20,10.34,42.7,39.761
1236,2004/ 5/21,13.9,55.9,72.601
1237,2004/ 5/22,0.69,60.2,81.219
1238,2004/ 5/23,0.0,59.5,63.036
1239,2004/ 5/24,0.0,38.2,51.434
1240,2004/ 5/25,0.0,28.0,44.272
1241,2004/ 5/26,0.0,34.0,37.932
1242,2004/ 5/27,1.35,42.7,33.749
1243,2004/ 5/28,40.0,46.7,156.631
1244,2004/ 5/29,0.0,223.8,192.226
1245,2004/ 5/30,0.0,129.3,121.541
1246,2004/ 5/31,0.1,88.6,83.531
1247,2004/ 6/ 1,0.0,64.0,62.308
1248,2004/ 6/ 2,0.0,47.5,52.384
1249,2004/ 6/ 3,0.0,39.3,43.924
1250,2004/ 6/ 4,0.0,35.4,36.378
1251,2004/ 6/ 5,0.0,23.3,30.022
1252,2004/ 6/ 6,0.0,25.2,24.902
1253,2004/ 6/ 7,0.0,18.7,20.777
1254,2004/ 6/ 8,4.75,19.2,23.429
1255,2004/ 6/ 9,0.01,22.0,22.379
1256,2004/ 6/10,0.24,23.8,19.71
1257,2004/ 6/11,0.0,7.0,16.467
1258,2004/ 6/12,0.23,10.7,13.944
1259,2004/ 6/13,0.17,2.8,13.078
1260,2004/ 6/14,0.0,7.1,12.166
1261,2004/ 6/15,0.0,11.2,11.295
1262,2004/ 6/16,0.15,7.2,10.476
1263,2004/ 6/17,6.48,7.5,15.643
1264,2004/ 6/18,1.94,13.0,18.858
1265,2004/ 6/19,46.2,33.0,209.684
1266,2004/ 6/20,38.71,149.6,567.244
1267,2004/ 6/21,15.8,307.0,543.254
1268,2004/ 6/22,2.45,189.9,259.983
1269,2004/ 6/23,6.35,122.7,168.6
1270,2004/ 6/24,3.76,97.4,141.899
1271,2004/ 6/25,0.57,86.8,109.229
1272,2004/ 6/26,4.41,67.1,89.466
1273,2004/ 6/27,11.7,72.9,106.875
1274,2004/ 6/28,0.03,79.3,102.818
1275,2004/ 6/29,0.11,64.0,76.693
1276,2004/ 6/30,0.06,47.0,61.302
1277,2004/ 7/ 1,2.36,46.4,55.957
1278,2004/ 7/ 2,46.86,238.2,288.773
1279,2004/ 7/ 3,2.57,217.5,329.532
1280,2004/ 7/ 4,46.58,333.8,513.862
1281,2004/ 7/ 5,8.9,551.7,522.087
1282,2004/ 7/ 6,3.46,319.2,223.802
1283,2004/ 7/ 7,46.83,351.5,514.59
1284,2004/ 7/ 8,11.91,742.9,548.024
1285,2004/ 7/ 9,0.65,444.4,244.258
1286,2004/ 7/10,0.17,269.8,158.59
1287,2004/ 7/11,4.74,181.2,127.761
1288,2004/ 7/12,130.8,1276.2,1284.221
1289,2004/ 7/13,59.85,2810.0,1861.086
1290,2004/ 7/14,8.08,824.4,864.514
1291,2004/ 7/15,12.24,460.8,308.964
1292,2004/ 7/16,53.97,600.5,704.759
1293,2004/ 7/17,45.1,1809.9,1059.33
1294,2004/ 7/18,0.34,835.1,630.231
1295,2004/ 7/19,0.64,376.1,220.415
1296,2004/ 7/20,1.29,234.8,150.004
1297,2004/ 7/21,0.05,149.5,116.054
1298,2004/ 7/22,0.05,120.7,94.631
1299,2004/ 7/23,0.05,89.0,81.001
1300,2004/ 7/24,0.0,72.3,69.874
1301,2004/ 7/25,7.35,68.1,70.026
1302,2004/ 7/26,7.15,82.1,75.214
1303,2004/ 7/27,0.05,62.3,73.003
1304,2004/ 7/28,0.17,44.9,67.084
1305,2004/ 7/29,0.4,35.2,60.47
1306,2004/ 7/30,0.0,29.2,53.215
1307,2004/ 7/31,0.28,26.1,46.368
1308,2004/ 8/ 1,5.48,22.9,47.087
1309,2004/ 8/ 2,1.32,50.6,45.728
1310,2004/ 8/ 3,1.36,39.3,43.549
1311,2004/ 8/ 4,2.52,24.6,42.342
1312,2004/ 8/ 5,21.44,48.3,85.064
1313,2004/ 8/ 6,0.08,56.4,96.552
1314,2004/ 8/ 7,0.0,31.7,73.784
1315,2004/ 8/ 8,10.51,35.8,83.853
1316,2004/ 8/ 9,0.05,39.2,81.846
1317,2004/ 8/10,0.0,21.9,64.408
1318,2004/ 8/11,0.0,19.8,54.983
1319,2004/ 8/12,0.31,20.8,47.597
1320,2004/ 8/13,0.62,5.8,41.677
1321,2004/ 8/14,16.54,34.5,66.575
1322,2004/ 8/15,0.08,31.9,69.065
1323,2004/ 8/16,30.31,37.5,158.118
1324,2004/ 8/17,53.31,261.3,661.401
1325,2004/ 8/18,67.35,637.7,1249.017
1326,2004/ 8/19,43.08,1669.4,1202.334
1327,2004/ 8/20,0.72,730.4,608.346
1328,2004/ 8/21,0.0,300.1,202.442
1329,2004/ 8/22,0.29,193.3,130.105
1330,2004/ 8/23,2.21,126.8,101.021
1331,2004/ 8/24,0.0,97.0,84.027
1332,2004/ 8/25,0.0,75.7,72.189
1333,2004/ 8/26,0.05,73.8,62.687
1334,2004/ 8/27,0.0,50.6,54.533
1335,2004/ 8/28,0.0,45.4,47.5
1336,2004/ 8/29,0.0,46.6,41.203
1337,2004/ 8/30,1.33,36.6,37.558
1338,2004/ 8/31,0.07,34.1,33.127
1339,2004/ 9/ 1,0.0,27.3,28.66
1340,2004/ 9/ 2,0.0,30.0,25.227
1341,2004/ 9/ 3,0.0,28.9,22.597
1342,2004/ 9/ 4,0.12,22.3,20.991
1343,2004/ 9/ 5,1.98,24.8,20.897
1344,2004/ 9/ 6,11.16,35.2,32.926
1345,2004/ 9/ 7,31.1,39.1,120.401
1346,2004/ 9/ 8,5.61,148.9,173.107
1347,2004/ 9/ 9,0.0,73.4,143.839
1348,2004/ 9/10,0.0,45.3,103.655
1349,2004/ 9/11,31.46,74.4,208.339
1350,2004/ 9/12,28.24,165.7,440.763
1351,2004/ 9/13,19.77,606.2,491.953
1352,2004/ 9/14,0.05,298.5,298.275
1353,2004/ 9/15,0.02,162.3,153.235
1354,2004/ 9/16,31.91,246.3,258.256
1355,2004/ 9/17,0.29,221.1,268.257
1356,2004/ 9/18,27.0,266.7,295.123
1357,2004/ 9/19,0.04,304.9,281.248
1358,2004/ 9/20,18.71,215.7,213.533
1359,2004/ 9/21,2.39,216.9,205.537
1360,2004/ 9/22,0.01,180.4,159.801
1361,2004/ 9/23,0.18,131.0,117.661
1362,2004/ 9/24,0.0,112.4,89.393
1363,2004/ 9/25,0.0,85.3,73.864
1364,2004/ 9/26,0.0,76.0,64.239
1365,2004/ 9/27,0.03,68.5,56.079
1366,2004/ 9/28,0.01,56.6,49.109
1367,2004/ 9/29,0.0,48.9,42.888
1368,2004/ 9/30,0.0,50.1,37.4
1369,2004/10/ 1,3.49,31.1,37.152
1370,2004/10/ 2,0.0,44.9,34.772
1371,2004/10/ 3,0.0,38.5,31.52
1372,2004/10/ 4,0.0,26.7,28.088
1373,2004/10/ 5,0.0,32.8,24.633
1374,2004/10/ 6,0.0,32.6,21.621
1375,2004/10/ 7,0.0,27.9,19.327
1376,2004/10/ 8,0.0,20.0,18.096
1377,2004/10/ 9,0.0,20.1,16.876
1378,2004/10/10,0.0,26.3,15.736
1379,2004/10/11,0.01,33.4,14.682
1380,2004/10/12,0.14,14.0,13.699
1381,2004/10/13,0.0,14.5,12.8
1382,2004/10/14,0.0,20.3,11.964
1383,2004/10/15,0.0,13.9,11.183
1384,2004/10/16,0.0,20.0,10.459
1385,2004/10/17,0.0,14.2,9.784
1386,2004/10/18,0.0,13.5,9.161
1387,2004/10/19,0.0,20.2,8.577
1388,2004/10/20,0.01,14.1,8.039
1389,2004/10/21,0.0,13.9,7.527
1390,2004/10/22,0.0,13.9,7.047
1391,2004/10/23,0.0,13.9,6.604
1392,2004/10/24,0.0,7.4,6.197
1393,2004/10/25,0.0,13.7,5.817
1394,2004/10/26,0.0,19.8,5.462
1395,2004/10/27,0.0,8.8,5.135
1396,2004/10/28,0.0,10.6,4.83
1397,2004/10/29,0.0,13.7,4.547
1398,2004/10/30,0.0,14.0,4.279
1399,2004/10/31,0.0,7.6,4.026
1400,2004/11/ 1,0.16,5.9,3.79
1401,2004/11/ 2,4.28,18.4,6.468
1402,2004/11/ 3,2.67,6.0,9.894
1403,2004/11/ 4,0.0,12.7,9.761
1404,2004/11/ 5,1.62,5.9,10.092
