date,month,leadtime,CRPS
2016_12,12,1,20.47740215053763
2017_1,1,1,2.771856869772998
2017_2,2,1,1.8406611111111122
2017_3,3,1,12.283767821585013
2017_4,4,1,5.208584855967068
2017_5,5,1,19.86124022301871
2017_6,6,1,24.255228724279824
2017_7,7,1,88.59075547590608
2017_8,8,1,62.224210115491935
2017_9,9,1,41.80258411522632
2017_10,10,1,4.050838391079251
2017_11,11,1,5.09065975308642
2017_12,12,1,0.8028618080446026
2018_1,1,1,1.51678972520908
2018_2,2,1,1.288819047619048
2018_3,3,1,2.281303942652336
2018_4,4,1,43.60733539094651
2018_5,5,1,87.36044133811234
2018_6,6,1,24.490188559670777
2018_7,7,1,25.564014416567147
2018_8,8,1,27.336875109518168
2018_9,9,1,26.627088395061776
2018_10,10,1,18.881290402230178
2018_11,11,1,11.58706197530864
2018_12,12,1,5.340666905615292
2019_1,1,1,3.4292239745121456
2019_2,2,1,4.0427512345679
2019_3,3,1,5.464517483074473
2019_4,4,1,10.465556131687245
2019_5,5,1,24.928065949820784
2019_6,6,1,15.831363703703701
2019_7,7,1,75.82933906810035
2019_8,8,1,45.47176113102349
2019_9,9,1,20.09695539094649
2019_10,10,1,12.651993628036646
2019_11,11,1,4.679222139917703
2019_12,12,1,2.6775726802070965
2020_1,1,1,42.308563679808834
2020_2,2,1,2.711603320561941
2020_3,3,1,4.477502110712874
2020_4,4,1,5.307826748971186
2020_5,5,1,22.4441332536838
2020_6,6,1,17.735763127572024
2020_7,7,1,32.90982070888096
2020_8,8,1,285.02018972520904
2020_9,9,1,131.95167967078194
2020_10,10,1,8.410997610513752
2020_11,11,1,3.6251890534979383
2020_12,12,1,0.7143991238550387
2011_1,1,2,1.3004309210900624
2011_2,2,2,4.376284951925803
2011_3,3,2,8.716468140183174
2011_4,4,2,49.34667053497941
2011_5,5,2,143.1739645453338
2011_6,6,2,513.259605761317
2011_7,7,2,252.6411816806053
2011_8,8,2,117.91959020576117
2011_9,9,2,47.42276133014734
2011_10,10,2,20.45560964024958
2011_11,11,2,3.933442657639711
2011_12,12,2,6.217068578255671
2012_1,1,2,1.6833578873645605
2012_2,2,2,9.65343969843035
2012_3,3,2,38.60148699853975
2012_4,4,2,16.949040069029547
2012_5,5,2,57.03688947829554
2012_6,6,2,55.11540002654979
2012_7,7,2,57.21089788928704
2012_8,8,2,38.806314071419024
2012_9,9,2,22.86063916898982
2012_10,10,2,7.996816909597769
2012_11,11,2,7.209074379397327
2012_12,12,2,7.649524492234166
2013_1,1,2,16.818330519997726
2013_2,2,2,24.773591133299192
2013_3,3,2,10.714895616620222
2013_4,4,2,14.533814390017266
2013_5,5,2,32.25600714456393
2013_6,6,2,177.99625099429193
2013_7,7,2,112.47041808044621
2013_8,8,2,120.23769771936816
2013_9,9,2,29.11083192884641
2013_10,10,2,18.349255637860068
2013_11,11,2,4.140911987256079
2013_12,12,2,1.93139968140183
2014_1,1,2,4.649250304375036
2014_2,2,2,4.30806856687718
2014_3,3,2,10.895889316341453
2014_4,4,2,17.831585607327764
2014_5,5,2,52.98372711801406
2014_6,6,2,164.02631215982996
2014_7,7,2,202.90470003982492
2014_8,8,2,59.27750493827155
2014_9,9,2,20.669389149077354
2014_10,10,2,9.099559779636277
2014_11,11,2,7.288216962697476
2014_12,12,2,4.984777220230983
2015_1,1,2,1.3456751436536392
2015_2,2,2,9.54401905330831
2015_3,3,2,7.121888355236965
2015_4,4,2,14.870550566839242
2015_5,5,2,61.13852944643565
2015_6,6,2,84.91870097968945
2015_7,7,2,133.19508857029075
2015_8,8,2,118.74500813487329
2015_9,9,2,59.714678752157226
2015_10,10,2,19.725396798088394
2015_11,11,2,50.33256065312625
2015_12,12,2,14.41266770211073
2016_1,1,2,8.462588030596411
2016_2,2,2,15.897746077260063
2016_3,3,2,15.138485243594854
2016_4,4,2,12.390200045134744
2016_5,5,2,42.0875319129165
2016_6,6,2,48.57278141245183
