date,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean,obs
2012_3,1113.8617096774194,617.8093870967742,596.6307634408603,878.6440430107527,685.6497741935484,501.93454838709675,671.3595806451613,417.3335053763441,598.4725161290322,744.265193548387,550.4855483870967,466.480623655914,773.1652580645161,759.2337311827957,571.0555806451613,993.0388817204301,518.1013870967741,577.923311827957,974.1246666666667,514.0977634408603,498.2549677419354,755.9368172043012,436.94360215053763,537.6032043010753,1229.3299569892472,593.1591612903226,567.8666774193548,667.3657741935484,402.2507634408602,920.0104623655913,546.0867956989247,710.5916989247312,879.0755913978494,976.9599247311829,689.1921505376345,496.76143010752696,771.9295376344087,1077.1247204301076,913.7902473118279,699.188430107527,914.60211827957,843.2111505376344,716.8280967741936,906.0897419354839,800.6277956989247,712.7644301075269,591.7248311827957
2012_4,1114.2293655913977,601.5176344086021,706.8366559139785,873.898311827957,710.4196451612903,506.1356129032259,671.695193548387,442.07524731182787,605.3511290322581,740.1830322580645,564.7742365591398,466.47138709677415,764.774182795699,733.8244516129032,580.0068387096775,992.0109247311827,502.0153978494624,585.0344516129032,987.5811290322581,627.8132258064516,582.1696451612903,757.1469677419354,453.477870967742,550.8894838709678,1231.44211827957,619.9462365591398,605.7406989247312,665.3912258064516,496.10692473118274,920.9027096774194,522.5671505376345,723.3353870967743,926.4273763440862,1010.3191505376344,699.4004516129033,555.8054623655914,790.4966021505377,1084.0160860215055,926.9202903225806,737.8396666666667,988.0528279569892,813.3789999999999,694.6637741935484,885.224741935484,803.4714623655914,729.3760430107527,600.1200892473119
2012_5,1111.5964838709676,580.1229784946237,736.4416129032259,750.8182043010754,744.2760430107527,492.9875376344086,683.9928064516129,427.18452688172044,539.3969677419354,721.60288172043,564.1759569892474,372.31568817204305,787.4134623655914,648.165182795699,462.16915053763444,980.0275376344086,537.0065591397849,517.6985161290322,954.9521182795698,613.9267311827958,566.1983440860215,764.5320430107528,437.36803225806455,633.5060322580646,1213.6174731182796,584.7261397849462,600.7486666666667,638.6738817204301,506.4485698924731,917.2643440860215,505.80443010752685,738.8679247311827,866.3171612903226,988.1027741935484,697.1052043010752,557.2284193548387,717.5578387096773,1029.0000645161292,887.8889032258064,711.9096989247313,966.1822795698924,795.836935483871,685.9581182795698,889.9990537634409,769.8092365591397,708.8226559139785,531.7704559139785
2012_6,1084.7574086021505,556.2156344086021,714.7769999999999,648.3100752688174,717.037440860215,448.90444086021506,678.3517204301074,365.0628817204301,407.4954086021505,671.7744408602151,558.1852903225806,353.966,785.0031720430106,584.5809677419355,431.2834408602151,883.3377956989249,435.98644086021505,501.61782795698923,922.5359784946235,528.0570107526881,538.5695268817205,712.2177311827959,417.718064516129,605.1611397849464,1126.2065483870967,529.8614946236559,522.3741182795699,537.2021290322581,436.8580322580645,898.4857096774193,500.88684946236566,543.2142688172042,815.916935483871,931.1573655913979,639.1633010752688,557.6403333333334,682.4657849462366,977.0550860215054,816.6968279569892,666.7814838709678,897.1429892473118,711.4127741935483,624.1323333333335,836.4486021505377,692.3015483870967,655.428376344086,524.5882301075269
2012_7,923.2983548387097,504.4982580645161,704.2558064516129,642.451817204301,673.7346881720431,417.3659677419355,715.402623655914,351.05393548387093,414.4434731182795,638.9345913978495,550.6767096774194,361.22041935483867,521.394440860215,372.4194838709677,427.5473978494624,792.3467096774194,443.24817204301075,508.71433333333334,881.2240215053764,549.7494838709677,512.9173548387097,668.8375053763442,409.3775268817205,577.8439139784946,924.1358709677419,527.2178709677419,511.25953763440856,455.4232043010752,391.39825806451614,902.431935483871,386.71824731182795,461.02064516129036,728.742569892473,916.7349354838709,606.9782795698925,489.60589247311833,680.2531612903225,944.5342365591397,754.1195161290323,562.7007311827958,802.4052580645163,714.5642043010752,594.9935591397849,728.9282688172044,707.4041182795698,607.8775483870968,524.4740645161289
2012_8,341.8244961597542,263.8442795698925,503.934376344086,339.353777265745,467.2023993855607,236.21850384024575,605.977025345622,270.56771274961596,254.4430906298003,264.5079915514593,457.3261305683564,206.72580952380954,369.8363410138249,245.9143356374808,200.22512596006146,416.69339170506913,340.5947265745007,238.79465284178187,653.869261904762,464.0092933947773,367.188559907834,396.4737542242703,122.17468049155146,337.19193394777267,616.3454193548387,245.7199969278034,396.4838993855606,246.8952895545315,304.00949001536094,632.0763387096775,108.50229416282642,300.6628993855607,493.5695360983103,706.3502357910907,472.8885983102919,167.38762596006143,508.6152012288786,752.2123655913979,369.90504761904765,374.36175038402456,195.6806059907834,569.4036436251919,291.89263287250384,302.6857173579109,582.3287227342549,377.84025268817203,399.7205518433179
2012_9,281.6753801843318,163.77857910906297,332.25008218125964,151.19023886328725,400.1265622119816,210.0708164362519,214.32800844854074,184.8902019969278,151.71603149001533,279.1398271889401,139.9813817204301,204.8342250384025,202.4004039938556,93.24697004608294,151.5060084485407,297.98058678955454,168.08169969278035,180.1390860215054,433.2285145929339,344.75972350230415,238.6364270353303,91.5776797235023,149.51839938556068,282.6672235023042,513.4464623655914,210.67488095238096,207.12583640553,115.56532949308757,210.92712135176654,109.40854301075268,154.10983026113672,321.0735253456221,194.50446159754227,382.8670176651306,255.16537403993854,171.76336712749617,171.26247388632873,410.5699546850998,241.13310138248846,245.1576198156682,223.20198540706608,293.4357357910906,154.62206374807988,160.1188525345622,351.2688494623656,232.11471505376346,300.06948732718894
2012_10,155.5193456221198,70.3046559139785,368.9737373271889,60.67643701996927,143.18659062980032,156.59361059907835,153.24071505376344,157.34721274961595,126.47864285714286,152.80134792626728,210.08864976958526,207.07650307219663,243.80351459293394,164.60332488479264,123.89125883256528,124.67179493087558,233.66069431643623,103.88188402457757,96.94464362519201,195.29337788018432,164.2910084485407,66.57481566820276,80.32884792626729,208.34128801843318,94.65366743471581,82.8146282642089,152.0323271889401,103.01404454685098,176.5109362519201,112.81967434715821,162.92499078341012,238.2586451612903,157.97922043010755,131.83468202764976,113.34123732718894,169.5050529953917,207.21749231950844,153.77004685099845,127.52976728110599,131.9130307219662,228.31168433179727,80.06894777265745,130.07870122887866,176.21871505376347,130.65821658986175,151.7791543778802,213.32325399385562
2012_11,150.07504070660522,81.26610906298004,317.78617665130565,74.93909523809523,161.27244546850997,172.26061367127497,200.8652380952381,256.97746774193547,147.21797158218126,157.06257834101382,227.95705376344088,208.87612288786485,261.0500660522273,195.95040168970814,200.68627112135175,200.33487250384024,263.42993548387096,116.77949769585251,186.21700000000004,108.51605529953918,120.09278033794163,78.42603379416283,108.30136098310291,243.5042465437788,139.87553302611366,150.3361827956989,244.89591321044549,158.26666820276495,89.6029178187404,131.7028064516129,319.18396313364053,301.18510368663596,183.80805069124423,111.16488632872503,117.29155837173577,178.80105453149002,254.12109139784948,210.03014132104454,176.15314285714288,174.89856758832565,218.78279877112135,113.86010445468511,176.76003456221198,228.28933486943163,225.6429523809524,180.99099692780337,228.59699592933947
2012_12,159.96598694316435,86.92313440860215,339.9033164362519,112.42852150537635,177.80854531490013,170.06086559139786,157.99573502304148,271.1903049155146,196.98554224270353,153.77913594470044,233.88520660522272,377.8104362519201,472.7278609831029,214.1271559139785,315.2979270353303,202.7641321044547,187.9645030721966,169.09376344086024,175.93175115207376,117.79983794162825,185.62051536098312,78.68136251920123,143.32362288786481,384.7828433179724,136.2303540706605,190.00260906298,321.7812012288787,164.92038709677422,79.29659831029186,216.18530721966206,416.1096290322581,316.0112373271889,188.87320814132104,136.3861728110599,135.6124846390169,204.80268894009217,297.5678855606759,249.2938655913979,253.7174301075269,252.81671812596005,191.4789400921659,159.81425729646696,303.3139531490015,207.52494316436253,425.2007112135176,220.7533425499232,217.06599592933946
